symbol,sector,industry,committee,empty
LGI,Financial Services,Asset Management,['finance'],[]
KRE,,,[],[]
CDL,,,[],[]
CFA,,,[],[]
PRF,,,[],[]
EELV,,,[],[]
SPGP,,,[],[]
CEF,Financial Services,Asset Management,['finance'],[]
GLD,,,[],[]
GNR,,,[],[]
CIBR,,,[],[]
QTEC,,,[],[]
GDXJ,,,[],[]
MOO,,,[],[]
GSSC,,,[],[]
SMDV,,,[],[]
DGRS,,,[],[]
FINX,,,[],[]
FDRR,,,[],[]
FQAL,,,[],[]
FIASX,,,[],[]
HR,Real Estate,REIT—Healthcare Facilities,['housing'],[]
GWW,Industrials,Industrial Distribution,[],[]
COST,Consumer Defensive,Discount Stores,"['commerce', 'nutrition']",[]
LMT,Industrials,Aerospace & Defense,"['armedservices', 'homelandsecurity']",[]
KO,Consumer Defensive,Beverages—Non-Alcoholic,['nutrition'],[]
CAT,Industrials,Farm & Heavy Construction Machinery,['agriculture'],[]
SBNY,Financial Services,Banks—Regional,"['banking', 'finance']",[]
MMM,Industrials,Conglomerates,[],[]
CMS,Utilities,Utilities—Regulated Electric,['energy'],[]
IBM,Technology,Information Technology Services,['science'],[]
BMY,Healthcare,Drug Manufacturers—General,['health'],[]
VTIP,,,[],[]
IBDO,,,[],[]
IBDQ,,,[],[]
SCCO,Basic Materials,Copper,['naturalresources'],[]
EVT,Financial Services,Asset Management,['finance'],[]
ABYIX,,,[],[]
JCI,Industrials,Building Products & Equipment,[],[]
FDN,,,[],[]
RTH,,,[],[]
NXTG,,,[],[]
LMND,Financial Services,Insurance—Property & Casualty,['finance'],[]
FSK,Financial Services,Asset Management,['finance'],[]
SQ,Technology,Software—Infrastructure,['science'],[]
IRT,Real Estate,REIT—Residential,['housing'],[]
RTX,Industrials,Aerospace & Defense,"['armedservices', 'homelandsecurity']",[]
WST,Healthcare,Medical Instruments & Supplies,['health'],[]
VEEV,Healthcare,Health Information Services,['health'],[]
VMW,Technology,Software—Infrastructure,['science'],[]
SNA,Industrials,Tools & Accessories,[],[]
SIVB,Financial Services,Banks—Regional,"['banking', 'finance']",[]
SPGI,Financial Services,Financial Data & Stock Exchanges,['finance'],[]
ROK,Industrials,Specialty Industrial Machinery,[],[]
REGN,Healthcare,Biotechnology,['health'],[]
NFLX,Communication Services,Entertainment,[],[]
LMST,Financial Services,Banks—Regional,"['banking', 'finance']",[]
KEY,Financial Services,Banks—Regional,"['banking', 'finance']",[]
INTU,Technology,Software—Application,['science'],[]
GNRC,Industrials,Specialty Industrial Machinery,[],[]
FGBI,Financial Services,Banks—Regional,"['banking', 'finance']",[]
FITB,Financial Services,Banks—Regional,"['banking', 'finance']",[]
EXP,Basic Materials,Building Materials,['naturalresources'],[]
DEO,Consumer Defensive,Beverages—Wineries & Distilleries,['nutrition'],[]
CFG,Financial Services,Banks—Regional,"['banking', 'finance']",[]
CE,Basic Materials,Chemicals,['naturalresources'],[]
CP,Industrials,Railroads,['transportation'],[]
CABO,Communication Services,Telecom Services,[],[]
BKE,Consumer Cyclical,Apparel Retail,['commerce'],[]
BIO,Healthcare,Medical Devices,['health'],[]
RF,Financial Services,Banks—Regional,"['banking', 'finance']",[]
NDAQ,Financial Services,Financial Data & Stock Exchanges,['finance'],[]
MRK,Healthcare,Drug Manufacturers—General,['health'],[]
MMC,Financial Services,Insurance Brokers,['finance'],[]
MKSI,Technology,Scientific & Technical Instruments,['science'],[]
HUMA,Healthcare,Biotechnology,['health'],[]
GFI,Basic Materials,Gold,['naturalresources'],[]
CDNS,Technology,Software—Application,['science'],[]
AME,Industrials,Specialty Industrial Machinery,[],[]
ABBV,Healthcare,Drug Manufacturers—General,['health'],[]
KWEB,,,[],[]
MAXR,Technology,Communication Equipment,['science'],[]
NEE,Utilities,Utilities—Regulated Electric,['energy'],[]
LHX,Industrials,Aerospace & Defense,"['armedservices', 'homelandsecurity']",[]
LOW,Consumer Cyclical,Home Improvement Retail,['commerce'],[]
ROAD,Industrials,Engineering & Construction,[],[]
UL,Consumer Defensive,Household & Personal Products,[],[]
WEX,Technology,Software—Infrastructure,['science'],[]
VFC,Consumer Cyclical,Apparel Manufacturing,['commerce'],[]
OTIS,Industrials,Specialty Industrial Machinery,[],[]
HSIC,Healthcare,Medical Distribution,['health'],[]
CARR,Industrials,Building Products & Equipment,[],[]
HSY,Consumer Defensive,Confectioners,['nutrition'],[]
LIN,Basic Materials,Specialty Chemicals,['naturalresources'],[]
BABA,Consumer Cyclical,Internet Retail,['commerce'],[]
WBA,Healthcare,Pharmaceutical Retailers,['health'],[]
PFE,Healthcare,Drug Manufacturers—General,['health'],[]
DOW,Basic Materials,Chemicals,['naturalresources'],[]
DUK,Utilities,Utilities—Regulated Electric,['energy'],[]
ABC,Healthcare,Medical Distribution,['health'],[]
CTAS,Industrials,Specialty Business Services,[],[]
PEP,Consumer Defensive,Beverages—Non-Alcoholic,['nutrition'],[]
PM,Consumer Defensive,Tobacco,['nutrition'],[]
PONCX,,,[],[]
TSN,Consumer Defensive,Farm Products,"['nutrition', 'agriculture']",[]
XEL,Utilities,Utilities—Regulated Electric,['energy'],[]
ABQCX,,,[],[]
FUN,Consumer Cyclical,Leisure,['commerce'],[]
CRWD,Technology,Software—Infrastructure,['science'],[]
FGSCX,,,[],[]
GILD,Healthcare,Drug Manufacturers—General,['health'],[]
CLOU,,,[],[]
NWL,Consumer Defensive,Household & Personal Products,[],[]
PEGA,Technology,Software—Application,['science'],[]
ACN,Technology,Information Technology Services,['science'],[]
AWK,Utilities,Utilities—Regulated Water,['naturalresources'],[]
LLY,Healthcare,Drug Manufacturers—General,['health'],[]
MA,Financial Services,Credit Services,['finance'],[]
WMT,Consumer Defensive,Discount Stores,"['commerce', 'nutrition']",[]
LUBFX,,,[],[]
XAR,,,[],[]
PTMC,,,[],[]
FIMKX,,,[],[]
ITA,,,[],[]
SI,Financial Services,Banks—Regional,"['banking', 'finance']",[]
IVOO,,,[],[]
KBA,,,[],[]
IWN,,,[],[]
TTE,Energy,Oil & Gas Integrated,"['energy', 'naturalresources']",[]
ARCC,Financial Services,Asset Management,['finance'],[]
FXI,,,[],[]
MET,Financial Services,Insurance—Life,['finance'],[]
AXS,Financial Services,Insurance—Property & Casualty,['finance'],[]
GLAD,Financial Services,Asset Management,['finance'],[]
HASI,Real Estate,REIT—Specialty,['housing'],[]
ETN,Industrials,Specialty Industrial Machinery,[],[]
IRM,Real Estate,REIT—Specialty,['housing'],[]
APO,Financial Services,Asset Management,['finance'],[]
GLW,Technology,Electronic Components,['science'],[]
V,Financial Services,Credit Services,['finance'],[]
VFH,,,[],[]
RIO,Basic Materials,Other Industrial Metals & Mining,['naturalresources'],[]
KBE,,,[],[]
MOS,Basic Materials,Agricultural Inputs,"['agriculture', 'naturalresources']",[]
AQN,Utilities,Utilities—Renewable,"['energy', 'environment']",[]
IGHG,,,[],[]
PTNQ,,,[],[]
AY,Utilities,Utilities—Renewable,"['energy', 'environment']",[]
JNJ,Healthcare,Drug Manufacturers—General,['health'],[]
NVS,Healthcare,Drug Manufacturers—General,['health'],[]
USB,Financial Services,Banks—Regional,"['banking', 'finance']",[]
