,Date,onDay,after_1,after_2,after_3,after_4,after_5,after_6,after_7,after_8,after_9,after_10,after_11,after_12,after_13,after_14,after_15,after_30,after_45,after_90,after_120,after_365,after_730,after_1095,after_1460,after_1825
0,2012-06-19,1357.97998046875,1355.68994140625,1325.510009765625,1335.02001953125,1313.719970703125,1319.989990234375,1331.8499755859375,1329.0400390625,1362.1600341796875,1365.510009765625,1374.02001953125,1367.5799560546875,1367.5799560546875,1354.6800537109375,1352.4599609375,1341.469970703125,1379.3199462890625,1413.1700439453125,1413.1099853515625,1407.050048828125,1798.1800537109375,2100.340087890625,1895.5799560546875,2328.25,2662.93994140625
1,2012-06-20,1355.68994140625,1325.510009765625,1335.02001953125,1313.719970703125,1319.989990234375,1331.8499755859375,1329.0400390625,1362.1600341796875,1365.510009765625,1374.02001953125,1367.5799560546875,1367.5799560546875,1354.6800537109375,1352.4599609375,1341.469970703125,1341.449951171875,1375.3199462890625,1413.489990234375,1408.75,1409.280029296875,1791.530029296875,2100.340087890625,1895.5799560546875,2337.580078125,2698.6298828125
2,2012-06-21,1325.510009765625,1335.02001953125,1313.719970703125,1319.989990234375,1331.8499755859375,1329.0400390625,1362.1600341796875,1365.510009765625,1374.02001953125,1367.5799560546875,1367.5799560546875,1354.6800537109375,1352.4599609375,1341.469970703125,1341.449951171875,1334.760009765625,1365.0,1402.0799560546875,1412.969970703125,1413.93994140625,1787.8699951171875,2100.340087890625,1895.5799560546875,2349.25,2731.199951171875
3,2012-06-22,1335.02001953125,1313.719970703125,1319.989990234375,1331.8499755859375,1329.0400390625,1362.1600341796875,1365.510009765625,1374.02001953125,1367.5799560546875,1367.5799560546875,1354.6800537109375,1352.4599609375,1341.469970703125,1341.449951171875,1334.760009765625,1356.780029296875,1390.989990234375,1411.1300048828125,1411.93994140625,1418.0699462890625,1781.3699951171875,2100.340087890625,1926.8199462890625,2347.219970703125,2732.219970703125
4,2012-06-25,1313.719970703125,1319.989990234375,1331.8499755859375,1329.0400390625,1362.1600341796875,1365.510009765625,1374.02001953125,1367.5799560546875,1367.5799560546875,1354.6800537109375,1352.4599609375,1341.469970703125,1341.449951171875,1334.760009765625,1356.780029296875,1353.6400146484375,1394.22998046875,1410.43994140625,1412.1600341796875,1418.550048828125,1795.8499755859375,2099.679931640625,1917.8299560546875,2351.159912109375,2716.260009765625
5,2012-06-26,1319.989990234375,1331.8499755859375,1329.0400390625,1362.1600341796875,1365.510009765625,1374.02001953125,1367.5799560546875,1367.5799560546875,1354.6800537109375,1352.4599609375,1341.469970703125,1341.449951171875,1334.760009765625,1356.780029296875,1353.6400146484375,1363.6700439453125,1401.3499755859375,1409.300048828125,1412.1600341796875,1427.8399658203125,1804.760009765625,2097.449951171875,1917.780029296875,2365.3798828125,2716.260009765625
6,2012-06-27,1331.8499755859375,1329.0400390625,1362.1600341796875,1365.510009765625,1374.02001953125,1367.5799560546875,1367.5799560546875,1354.6800537109375,1352.4599609375,1341.469970703125,1341.449951171875,1334.760009765625,1356.780029296875,1353.6400146484375,1363.6700439453125,1372.780029296875,1402.219970703125,1410.489990234375,1412.1600341796875,1428.47998046875,1802.47998046875,2110.300048828125,1945.5,2365.3798828125,2716.260009765625
7,2012-06-28,1329.0400390625,1362.1600341796875,1365.510009765625,1374.02001953125,1367.5799560546875,1367.5799560546875,1354.6800537109375,1352.4599609375,1341.469970703125,1341.449951171875,1334.760009765625,1356.780029296875,1353.6400146484375,1363.6700439453125,1372.780029296875,1376.510009765625,1402.800048828125,1399.47998046875,1427.5899658203125,1419.449951171875,1802.75,2109.659912109375,1945.5,2365.3798828125,2716.260009765625
8,2012-06-29,1362.1600341796875,1365.510009765625,1374.02001953125,1367.5799560546875,1367.5799560546875,1354.6800537109375,1352.4599609375,1341.469970703125,1341.449951171875,1334.760009765625,1356.780029296875,1353.6400146484375,1363.6700439453125,1372.780029296875,1376.510009765625,1362.6600341796875,1405.8699951171875,1406.5799560546875,1414.199951171875,1413.5799560546875,1807.22998046875,2109.659912109375,1945.5,2365.3798828125,2701.330078125
9,2012-07-02,1365.510009765625,1374.02001953125,1367.5799560546875,1367.5799560546875,1354.6800537109375,1352.4599609375,1341.469970703125,1341.449951171875,1334.760009765625,1356.780029296875,1353.6400146484375,1363.6700439453125,1372.780029296875,1376.510009765625,1362.6600341796875,1350.52001953125,1404.1099853515625,1404.93994140625,1417.260009765625,1430.3599853515625,1805.81005859375,2109.659912109375,1921.27001953125,2362.820068359375,2703.9599609375
